id,date,amount,income_src
1,1/14/2024,"€898,56",Gift
2,2/20/2024,"€527,12",Freelance
3,10/26/2024,"€907,83",Investment
4,9/18/2024,"€267,00",Investment
5,6/17/2024,"€132,14",Investment
6,10/31/2024,"€967,24",Gift
7,11/21/2023,"€395,36",Gift
8,1/27/2024,"€231,01",Rental Income
9,11/27/2023,"€321,17",Rental Income
10,12/6/2023,"€290,13",Rental Income
11,10/29/2024,"€854,51",Freelance
12,1/29/2024,"€802,02",Investment
13,7/24/2024,"€17,30",Freelance
14,12/25/2023,"€502,17",Salary
15,7/30/2024,"€433,86",Freelance
16,3/31/2024,"€89,80",Investment
17,12/26/2023,"€48,85",Freelance
18,3/15/2024,"€662,41",Salary
19,4/4/2024,"€946,96",Freelance
20,1/8/2024,"€486,16",Investment
21,10/11/2024,"€440,65",Freelance
22,8/21/2024,"€42,24",Rental Income
23,11/13/2023,"€254,24",Salary
24,12/17/2023,"€414,42",Rental Income
25,12/28/2023,"€873,73",Rental Income
26,4/2/2024,"€231,26",Rental Income
27,10/4/2024,"€376,30",Rental Income
28,4/27/2024,"€580,69",Investment
29,4/6/2024,"€399,82",Gift
30,5/8/2024,"€120,39",Gift
31,2/25/2024,"€185,28",Freelance
32,5/26/2024,"€560,07",Investment
33,12/30/2023,"€965,38",Gift
34,1/14/2024,"€970,28",Freelance
35,11/1/2024,"€51,99",Investment
36,1/26/2024,"€186,47",Freelance
37,1/11/2024,"€839,11",Rental Income
38,6/15/2024,"€132,40",Salary
39,4/26/2024,"€273,40",Investment
40,7/16/2024,"€947,76",Gift
41,11/30/2023,"€422,83",Freelance
42,5/28/2024,"€136,07",Salary
43,10/7/2024,"€828,60",Freelance
44,9/23/2024,"€921,36",Salary
45,9/28/2024,"€10,56",Salary
46,12/29/2023,"€841,94",Salary
47,7/16/2024,"€74,19",Gift
48,3/2/2024,"€751,09",Investment
49,12/22/2023,"€443,41",Freelance
50,12/17/2023,"€231,68",Gift
51,8/15/2024,"€336,15",Investment
52,1/14/2024,"€497,14",Salary
53,1/16/2024,"€652,35",Salary
54,10/30/2024,"€831,55",Gift
55,3/3/2024,"€513,05",Salary
56,10/17/2024,"€298,19",Freelance
57,10/23/2024,"€215,23",Investment
58,11/2/2024,"€999,41",Gift
59,4/22/2024,"€495,11",Gift
60,2/19/2024,"€93,28",Freelance
61,5/18/2024,"€414,34",Salary
62,8/15/2024,"€789,08",Rental Income
63,1/5/2024,"€821,31",Rental Income
64,5/4/2024,"€314,62",Investment
65,4/3/2024,"€151,29",Freelance
66,6/30/2024,"€294,61",Gift
67,9/19/2024,"€992,20",Salary
68,7/2/2024,"€676,35",Investment
69,1/23/2024,"€654,29",Salary
70,7/18/2024,"€800,78",Rental Income
71,12/26/2023,"€816,69",Salary
72,10/2/2024,"€238,93",Rental Income
73,5/26/2024,"€830,95",Rental Income
74,8/6/2024,"€14,02",Rental Income
75,11/10/2023,"€612,54",Gift
76,5/20/2024,"€243,40",Rental Income
77,12/24/2023,"€162,51",Salary
78,11/24/2023,"€907,28",Gift
79,1/23/2024,"€625,15",Freelance
80,12/16/2023,"€229,72",Freelance
81,1/25/2024,"€927,45",Salary
82,5/13/2024,"€240,80",Salary
83,3/4/2024,"€596,48",Gift
84,12/1/2023,"€337,03",Freelance
85,1/23/2024,"€367,02",Gift
86,10/23/2024,"€790,84",Rental Income
87,2/16/2024,"€192,62",Salary
88,11/22/2023,"€716,65",Gift
89,6/5/2024,"€306,00",Gift
90,10/24/2024,"€97,54",Gift
91,3/12/2024,"€563,55",Rental Income
92,10/2/2024,"€796,29",Freelance
93,4/4/2024,"€224,81",Salary
94,7/28/2024,"€860,04",Gift
95,8/27/2024,"€296,80",Gift
96,4/19/2024,"€682,20",Freelance
97,3/8/2024,"€12,88",Freelance
98,12/18/2023,"€537,64",Gift
99,5/5/2024,"€880,71",Investment
100,11/15/2023,"€706,41",Freelance
101,4/11/2024,"€530,37",Gift
102,3/19/2024,"€541,37",Salary
103,4/17/2024,"€139,17",Freelance
104,8/6/2024,"€674,18",Investment
105,6/5/2024,"€647,75",Salary
106,12/23/2023,"€2,85",Rental Income
107,5/7/2024,"€775,38",Freelance
108,10/19/2024,"€177,54",Gift
109,3/27/2024,"€162,23",Rental Income
110,4/2/2024,"€323,65",Freelance
111,12/7/2023,"€183,40",Investment
112,9/26/2024,"€176,23",Gift
113,8/26/2024,"€717,27",Gift
114,6/30/2024,"€795,09",Freelance
115,7/27/2024,"€119,95",Salary
116,6/23/2024,"€502,52",Investment
117,8/6/2024,"€613,51",Salary
118,6/24/2024,"€688,83",Salary
119,2/21/2024,"€310,03",Rental Income
120,10/30/2024,"€411,32",Rental Income
121,7/31/2024,"€435,67",Freelance
122,10/15/2024,"€394,52",Gift
123,11/18/2023,"€117,78",Gift
124,1/3/2024,"€291,48",Salary
125,5/6/2024,"€525,70",Rental Income
126,4/8/2024,"€177,04",Investment
127,2/4/2024,"€400,94",Freelance
128,12/26/2023,"€710,52",Salary
129,8/17/2024,"€924,49",Salary
130,10/27/2024,"€696,23",Freelance
131,10/16/2024,"€799,79",Rental Income
132,9/4/2024,"€978,51",Salary
133,12/12/2023,"€433,09",Gift
134,9/22/2024,"€220,51",Freelance
135,12/10/2023,"€96,17",Freelance
136,3/26/2024,"€398,86",Rental Income
137,8/17/2024,"€504,56",Gift
138,1/22/2024,"€29,17",Freelance
139,1/6/2024,"€414,88",Salary
140,12/3/2023,"€404,89",Rental Income
141,3/12/2024,"€176,80",Salary
142,4/4/2024,"€353,02",Freelance
143,12/4/2023,"€720,01",Salary
144,4/16/2024,"€99,86",Freelance
145,1/3/2024,"€811,17",Rental Income
146,7/30/2024,"€303,03",Investment
147,2/7/2024,"€695,07",Freelance
148,12/6/2023,"€370,67",Salary
149,9/25/2024,"€970,72",Investment
150,10/10/2024,"€674,66",Gift
151,1/24/2024,"€618,65",Freelance
152,12/6/2023,"€432,37",Gift
153,5/26/2024,"€894,03",Rental Income
154,9/15/2024,"€990,27",Rental Income
155,1/16/2024,"€463,22",Investment
156,1/28/2024,"€592,36",Rental Income
157,11/15/2023,"€696,39",Rental Income
158,5/14/2024,"€304,62",Salary
159,11/5/2024,"€347,63",Salary
160,3/25/2024,"€525,14",Gift
161,5/11/2024,"€92,79",Salary
162,1/16/2024,"€834,41",Gift
163,11/16/2023,"€244,68",Gift
164,11/13/2023,"€143,98",Freelance
165,1/11/2024,"€581,93",Freelance
166,2/8/2024,"€324,50",Investment
167,9/20/2024,"€262,00",Investment
168,9/14/2024,"€689,82",Freelance
169,6/30/2024,"€531,78",Rental Income
170,5/24/2024,"€873,97",Gift
171,8/24/2024,"€619,50",Gift
172,12/9/2023,"€648,83",Gift
173,5/21/2024,"€181,00",Freelance
174,12/5/2023,"€991,41",Gift
175,12/10/2023,"€100,33",Freelance
176,8/25/2024,"€727,33",Salary
177,1/15/2024,"€295,11",Rental Income
178,11/20/2023,"€718,23",Investment
179,8/14/2024,"€127,75",Freelance
180,3/3/2024,"€864,52",Gift
181,6/14/2024,"€283,36",Gift
182,7/15/2024,"€860,18",Investment
183,8/13/2024,"€19,65",Salary
184,1/29/2024,"€47,55",Salary
185,5/26/2024,"€968,00",Freelance
186,7/1/2024,"€791,26",Gift
187,4/25/2024,"€869,35",Rental Income
188,6/21/2024,"€106,60",Salary
189,4/5/2024,"€289,22",Gift
190,8/30/2024,"€417,64",Rental Income
191,9/11/2024,"€631,83",Gift
192,11/11/2023,"€956,36",Rental Income
193,1/23/2024,"€436,58",Salary
194,7/19/2024,"€949,37",Investment
195,8/18/2024,"€471,64",Investment
196,11/27/2023,"€737,14",Salary
197,10/16/2024,"€313,20",Gift
198,5/26/2024,"€417,76",Freelance
199,8/30/2024,"€112,80",Freelance
200,1/11/2024,"€804,41",Freelance
201,5/3/2024,"€102,72",Investment
202,2/27/2024,"€713,14",Salary
203,7/20/2024,"€49,33",Rental Income
204,8/25/2024,"€658,15",Gift
205,11/15/2023,"€190,38",Salary
206,3/6/2024,"€302,05",Freelance
207,9/13/2024,"€652,49",Salary
208,6/12/2024,"€529,06",Rental Income
209,2/26/2024,"€722,70",Salary
210,12/26/2023,"€943,10",Investment
211,7/13/2024,"€918,27",Freelance
212,5/2/2024,"€937,54",Rental Income
213,1/24/2024,"€185,69",Rental Income
214,7/26/2024,"€315,51",Investment
215,7/15/2024,"€609,37",Gift
216,6/20/2024,"€516,45",Salary
